"22","            Veterans' benefits",88.2,89.7,90.0,91.4,91.6,92.7,92.9,94.0,95.5,98.0,99.2,100.2
"23","            Other",466.1,470.4,468.9,465.8,474.8,472.8,470.4,466.5,482.8,479.4,481.0,483.7
"24","        Other current transfer receipts, from business (net)",50.5,52.4,54.1,55.4,56.5,57.3,57.8,58.0,58.4,59.2,59.9,60.7
"25","    Less: Contributions for government social insurance, domestic",1188.3,1201.7,1210.3,1231.9,1227.5,1245.4,1258.2,1250.2,1284.1,1293.8,1306.0,1318.9
"26","Less: Personal current taxes",1903.4,1934.1,1937.7,1976.5,1928.9,1950.7,1983.8,1977.2,2018.8,2007.9,2046.4,2086.3
"27","Equals: Disposable personal income",13397.6,13582.0,13687.8,13792.7,13822.1,13959.4,14044.3,14048.5,14226.4,14331.6,14405.5,14544.4
"28","Less: Personal outlays",12587.9,12737.7,12865.8,12955.2,13034.3,13214.2,13366.6,13537.0,13671.8,13805.9,13927.2,14160.0
"29","    Personal consumption expenditures",12142.2,12284.2,12407.8,12494.9,12571.5,12755.0,12899.4,13056.9,13191.6,13307.0,13429.1,13647.1
"30","    Personal interest payments4",262.2,267.6,271.2,273.9,273.4,276.3,279.3,284.4,287.4,300.7,301.3,312.3
"31","    Personal current transfer payments",183.5,185.9,186.9,186.4,189.4,183.0,187.9,195.6,192.9,198.2,196.7,200.6
"32","        To government",105.0,105.4,105.7,105.7,107.7,108.1,109.0,110.6,112.3,114.1,115.5,116.5
"33","        To the rest of the world (net)",78.6,80.4,81.2,80.7,81.7,74.9,78.9,85.0,80.6,84.1,81.2,84.1
"34","Equals: Personal saving",809.7,844.4,822.0,837.5,787.8,745.2,677.7,511.5,554.6,525.7,478.3,384.4
"35","    Personal saving as a percentage of disposable personal income",6.0,6.2,6.0,6.1,5.7,5.3,4.8,3.6,3.9,3.7,3.3,2.6
"","Addenda:","","","","","","","","","","","",""
"36","    Personal income excluding current transfer receipts, billions of chained (2009) dollars5",11616.6,11729.9,11778.1,11891.9,11830.4,11894.9,11934.4,11857.1,11955.7,12027.2,12062.4,12120.4
"","    Disposable personal income:","","","","","","","","","","","",""
"37","        Total, billions of chained (2009) dollars5",12297.6,12414.2,12470.8,12561.2,12567.7,12627.2,12649.2,12590.8,12680.4,12765.6,12783.0,12819.0
"","        Per capita:","","","","","","","","","","","",""
"38","            Current dollars",41811,42315,42559,42799,42820,43174,43352,43280,43759,44011,44151,44491
"39","            Chained (2009) dollars",38378,38677,38775,38977,38934,39054,39045,38790,39004,39202,39178,39213
"40","    Population (midperiod, thousands)",320431,320972,321620,322268,322793,323326,323962,324593,325108,325640,326276,326907
"","    Percent change from preceding period:","","","","","","","","","","","",""
"41","        Disposable personal income, current dollars",2.6,5.6,3.2,3.1,0.9,4.0,2.5,0.1,5.2,3.0,2.1,3.9
"42","        Disposable personal income, chained (2009) dollars",4.3,3.8,1.8,2.9,0.2,1.9,0.7,-1.8,2.9,2.7,0.5,1.1
"Legend / Footnotes:"
"1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period."
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
"3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund."
"4. Consists of nonmortgage interest paid by households."
"5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures."
